SR. NO.,Tehsil,Qanoongoi,Mauza,Classification,Location,Square No,Killa No,Khasra No,DC Rate,Unit,Structure Rate
1,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,1,19-22,,3046383,Acre,470
2,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,11,12-14;17-18;2-9;24-25,,3046383,Acre,470
3,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,18,14;17-23;4-7,,3046383,Acre,470
4,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,27,1-10;12-19;22-24,,3046383,Acre,470
5,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,36,17;24,,3046383,Acre,470
6,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,44,10-11;2-3,,3046383,Acre,470
7,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,5,23,,3046383,Acre,470
8,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,52,7;14,,3046383,Acre,470
9,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,58,12-13;19-22;2-9,,3046383,Acre,470
10,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,64,14-15;17-18;5-6,,3046383,Acre,470
11,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,68-131,1,,3046383,Acre,470
12,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,63-131,21,,3046383,Acre,470
13,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,3;6,24,,3046383,Acre,470
14,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,26-27;65-131,25,,3046383,Acre,470
15,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,6-May,21-22,,3046383,Acre,470
16,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,51-52,1-4;17-24;8-13,,3046383,Acre,470
17,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,63-64,1-4;19-20;7-13,,3046383,Acre,470
18,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,3-Jan,10-12;14-15,,3046383,Acre,470
19,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,18-19,13-Aug,,3046383,Acre,470
20,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,11-Oct,15-16,,3046383,Acre,470
21,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,57-58,14-18,,3046383,Acre,470
22,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,64-131,22-24,,3046383,Acre,470
23,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,66-131,11-20;6-8,,3046383,Acre,470
24,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,8-May,11-Sep,,3046383,Acre,470
25,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,7-May,12;18-20,,3046383,Acre,470
26,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,17-19,3-Jan,,3046383,Acre,470
27,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,7-Jun,13-17;4-7,,3046383,Acre,470
28,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,35-36,1-3;18-23;8-13,,3046383,Acre,470
29,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,44-45,12-20;4-9,,3046383,Acre,470
30,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,2-Jan,13;1-9,,3046383,Acre,470
31,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,57-59,23-25,,3046383,Acre,470
32,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,43-45,21-25,,3046383,Acre,470
33,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,3-Feb,25;16-17,,3046383,Acre,470
34,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,8-Jun,8;1-3,,3046383,Acre,470
35,Depal Pur,Basir Pur,Arora Wala Jageer,Agricultural,Off Road,67-131,2-5;9-10,,3046383,Acre,470
36,Depal Pur,Basir Pur,Arora Wala Jageer,Residential,Link Road,24,21-24,,45490,Marla,780
37,Depal Pur,Basir Pur,Arora Wala Jageer,Residential,Link Road,27-28,11,,45490,Marla,780
38,Depal Pur,Basir Pur,Arora Wala Jageer,Residential,Link Road,28-29,12-15;6-10,,45490,Marla,780
39,Depal Pur,Basir Pur,Arora Wala Jageer,Residential,Off Road,30,15-Jun,,38587,Marla,780
40,Depal Pur,Basir Pur,Arora Wala Jageer,Residential,Off Road,24-26,11,,38587,Marla,780
41,Depal Pur,Basir Pur,Arora Wala Jageer,Residential,Off Road,24-27,12-15;6-10,,38587,Marla,780
42,Depal Pur,Basir Pur,Arora Wala Jageer,Residential,Off Road,23;31,25-Jan,,82175,Marla,780
43,Depal Pur,Basir Pur,Arora Wala Jageer,Residential,Off Road,24-30,1-5;16-20,,38587,Marla,780
44,Depal Pur,Basir Pur,Arora Wala Jageer,Residential,Off Road,1-22;32-131,25-Jan,,38587,Marla,780
45,Depal Pur,Basir Pur,Arora Wala Jageer,Residential,Off Road,25-30,21-25,,38587,Marla,780
46,Depal Pur,Basir Pur,Badri Daas,Agricultural,Link Road,12,23;25;16-17,,2063206,Acre,470
47,Depal Pur,Basir Pur,Badri Daas,Agricultural,Link Road,12,1;11;20-21;10/2,,2449137,Acre,510
48,Depal Pur,Basir Pur,Badri Daas,Agricultural,Link Road,15,4,,2063206,Acre,470
49,Depal Pur,Basir Pur,Badri Daas,Agricultural,Link Road,15,1;10-11;20-21,,2449137,Acre,510
50,Depal Pur,Basir Pur,Badri Daas,Agricultural,Link Road,16,25;5-6;15-16,,2449137,Acre,510
51,Depal Pur,Basir Pur,Badri Daas,Agricultural,Link Road,20,1;20;10-11,,2449137,Acre,510
52,Depal Pur,Basir Pur,Badri Daas,Agricultural,Link Road,4,21,,2449137,Acre,510
53,Depal Pur,Basir Pur,Badri Daas,Agricultural,Link Road,5,24,,2063206,Acre,470
54,Depal Pur,Basir Pur,Badri Daas,Agricultural,Link Road,5,21/2;22-25,,2449137,Acre,510
55,Depal Pur,Basir Pur,Badri Daas,Agricultural,Link Road,11;19,5;25;15-16;6/1;6/2,,2449137,Acre,510
56,Depal Pur,Basir Pur,Badri Daas,Agricultural,Off Road,13-19,1,,2063206,Acre,470
57,Depal Pur,Basir Pur,Badri Daas,Agricultural,Off Road,11-Jun,21,,2063206,Acre,470
58,Depal Pur,Basir Pur,Badri Daas,Agricultural,Off Road,24-Jun,24,,2063206,Acre,470
59,Depal Pur,Basir Pur,Badri Daas,Agricultural,Off Road,14-Jan,4,,2063206,Acre,470
