"SR.
NO.",Town,Revenue Circle,Property Area,Classification,Location,Square No,Killa No,Khasra No,DC Rate,Unit,Structure Rate
1,Basir Pur,Basir Pur,Abadi Abid Hussain Wali,Residential,Off Road,,,,110250,Marla,879
2,Basir Pur,Basir Pur,Abadi Afzal Nagar,Commercial,Off Road,,,,176726,Marla,1464
3,Basir Pur,Basir Pur,Abadi Afzal Nagar,Residential,Off Road,,,,112058,Marla,878
4,Basir Pur,Basir Pur,Abadi Allah Ditta Wali,Commercial,Off Road,,,,477025,Marla,878
5,Basir Pur,Basir Pur,Abadi Allah Ditta Wali,Residential,Off Road,,,,234376,Marla,878
6,Basir Pur,Basir Pur,Abadi Ameen Wali,Commercial,Main Road,,,,505575,Marla,1464
7,Basir Pur,Basir Pur,Abadi Ameen Wali,Residential,Off Road,,,,88200,Marla,879
8,Basir Pur,Basir Pur,Abadi Ashraf Shah Wali,Commercial,Main Road,,,,786450,Marla,1464
9,Basir Pur,Basir Pur,Abadi Ashraf Shah Wali,Residential,Off Road,,,,88200,Marla,879
10,Basir Pur,Basir Pur,Abadi Chah Bagh Wali,Commercial,Off Road,,,,1839067,Marla,1684
11,Basir Pur,Basir Pur,Abadi Chah Bagh Wali,Residential,Off Road,,,,847439,Marla,1684
12,Basir Pur,Basir Pur,Abadi Chah Ghulam Muhammad,Commercial,Off Road,,,,1839067,Marla,1684
13,Basir Pur,Basir Pur,Abadi Chah Ghulam Muhammad,Residential,Off Road,,,,847439,Marla,1684
14,Basir Pur,Basir Pur,Abadi Chah Jalal Din Wali,Commercial,Off Road,,,,822457,Marla,878
15,Basir Pur,Basir Pur,Abadi Chah Jalal Din Wali,Residential,Off Road,,,,515628,Marla,878
16,Basir Pur,Basir Pur,Abadi Chah Kichyan Wala,Commercial,Off Road,,,,822457,Marla,878
17,Basir Pur,Basir Pur,Abadi Chah Kichyan Wala,Residential,Off Road,,,,515628,Marla,878
18,Basir Pur,Basir Pur,Abadi Chah Kiker Wali,Commercial,Off Road,,,,822457,Marla,878
19,Basir Pur,Basir Pur,Abadi Chah Kiker Wali,Residential,Off Road,,,,515628,Marla,878
20,Basir Pur,Basir Pur,Abadi Chah Mohlan Wali,Commercial,Off Road,,,,822457,Marla,878
21,Basir Pur,Basir Pur,Abadi Chah Mohlan Wali,Residential,Off Road,,,,515628,Marla,878
22,Basir Pur,Basir Pur,Abadi Chah Noor Shah Wali,Residential,Off Road,,,,807084,Marla,878
23,Basir Pur,Basir Pur,Abadi Chah Sunari Wala,Commercial,Off Road,,,,657965,Marla,878
24,Basir Pur,Basir Pur,Abadi Chah Sunari Wala,Residential,Off Road,,,,386722,Marla,878
25,Basir Pur,Basir Pur,Abadi Chah Talib Hussain,Commercial,Off Road,,,,822457,Marla,878
26,Basir Pur,Basir Pur,Abadi Chah Talib Hussain,Residential,Off Road,,,,386722,Marla,878
27,Basir Pur,Basir Pur,Abadi Chandoor Pull,Commercial,Off Road,,,,822457,Marla,878
28,Basir Pur,Basir Pur,Abadi Chandoor Pull,Residential,Off Road,,,,386722,Marla,878
29,Basir Pur,Basir Pur,Abadi charag Didha Wali,Residential,Off Road,,,,121275,Marla,879
30,Basir Pur,Basir Pur,Abadi Chaudhry Muhammad Hussain Advocate Wali,Commercial,Off Road,,,,298552,Marla,878
31,Basir Pur,Basir Pur,Abadi Chaudhry Muhammad Hussain Advocate Wali,Residential,Off Road,,,,195313,Marla,878
32,Basir Pur,Basir Pur,Abadi Darbar Hamid Sachiyar,Commercial,Off Road,,,,822457,Marla,878
33,Basir Pur,Basir Pur,Abadi Darbar Hamid Sachiyar,Residential,Off Road,,,,644537,Marla,878
34,Basir Pur,Basir Pur,Abadi Darbar Khowaja Muhammad Akbar,Commercial,Off Road,,,,822457,Marla,878
35,Basir Pur,Basir Pur,Abadi Darbar Khowaja Muhammad Akbar,Residential,Off Road,,,,644537,Marla,878
36,Basir Pur,Basir Pur,Abadi Deendar Wali,Commercial,Off Road,,,,298552,Marla,878
37,Basir Pur,Basir Pur,Abadi Deendar Wali,Residential,Off Road,,,,195313,Marla,878
38,Basir Pur,Basir Pur,Abadi Fateh Muhammad Wali,Commercial,Off Road,,,,205614,Marla,878
39,Basir Pur,Basir Pur,Abadi Fateh Muhammad Wali,Residential,Off Road,,,,122515,Marla,878
40,Basir Pur,Basir Pur,Abadi Ghulam Haider Wali,Commercial,Main Road,,,,105000,Marla,866
41,Basir Pur,Basir Pur,Abadi Ghulam Hussain Wali,Commercial,Main Road,,,,105000,Marla,866
42,Basir Pur,Basir Pur,Abadi Ghulam Hussain Wali,Residential,Off Road,,,,104737,Marla,879
43,Basir Pur,Basir Pur,Abadi Hajji Amnat wali,Commercial,Off Road,,,,194399,Marla,1464
44,Basir Pur,Basir Pur,Abadi Hajji Amnat wali,Residential,Off Road,,,,95382,Marla,878
45,Basir Pur,Basir Pur,Abadi Hospital,Commercial,Off Road,,,,822457,Marla,878
46,Basir Pur,Basir Pur,Abadi Hospital,Residential,Off Road,,,,644537,Marla,878
47,Basir Pur,Basir Pur,Abadi Kabrastan Shaheedan Wali,Commercial,Off Road,,,,411228,Marla,878
48,Basir Pur,Basir Pur,Abadi Kabrastan Shaheedan Wali,Residential,Off Road,,,,140626,Marla,878
49,Basir Pur,Basir Pur,Abadi Lakha Abad Wali,Commercial,Off Road,,,,411228,Marla,878
50,Basir Pur,Basir Pur,Abadi Lakha Abad Wali,Residential,Off Road,,,,140626,Marla,878
51,Basir Pur,Basir Pur,Abadi Mian Ali Muhammad Wali,Residential,Off Road,,,,177558,Marla,878
52,Basir Pur,Basir Pur,Abadi Mian Atta Muhammad,Commercial,Off Road,,,,398068,Marla,1684
53,Basir Pur,Basir Pur,Abadi Mian Atta Muhammad,Residential,Off Road,,,,292972,Marla,878
54,Basir Pur,Basir Pur,Abadi Mian Ghulam Moi- e-Ud Din Wali,Commercial,Off Road,,,,205614,Marla,878
55,Basir Pur,Basir Pur,Abadi Mian Ghulam Moi- e-Ud Din Wali,Residential,Off Road,,,,122515,Marla,878
56,Basir Pur,Basir Pur,Abadi Mian Hanif Wali,Commercial,Off Road,,,,657965,Marla,878
57,Basir Pur,Basir Pur,Abadi Mian Hanif Wali,Residential,Off Road,,,,515628,Marla,878
58,Basir Pur,Basir Pur,Abadi Mian Muhammad Hussain Wali,Commercial,Off Road,,,,205614,Marla,878
59,Basir Pur,Basir Pur,Abadi Mian Muhammad Hussain Wali,Residential,Off Road,,,,122515,Marla,878
60,Basir Pur,Basir Pur,Abadi Mian Nawaz Chachar Wali,Commercial,Off Road,,,,822457,Marla,878
61,Basir Pur,Basir Pur,Abadi Mian Nawaz Chachar Wali,Residential,Off Road,,,,644537,Marla,878
62,Basir Pur,Basir Pur,Abadi Mian Nazar Muhammad Wali,Commercial,Off Road,,,,822457,Marla,878
63,Basir Pur,Basir Pur,Abadi Mian Nazar Muhammad Wali,Residential,Off Road,,,,644537,Marla,878
64,Basir Pur,Basir Pur,Abadi Mian Shabir Wali,Residential,Off Road,,,,99225,Marla,879
65,Basir Pur,Basir Pur,Abadi Mian Shafique Wali,Commercial,Off Road,,,,205614,Marla,878
66,Basir Pur,Basir Pur,Abadi Mian Shafique Wali,Residential,Off Road,,,,122515,Marla,878
67,Basir Pur,Basir Pur,Abadi Muhammad Ahmad Putay Wala,Commercial,Main Road,,,,674100,Marla,1464
68,Basir Pur,Basir Pur,Abadi Muhammad Ahmad Putay Wala,Residential,Off Road,,,,165375,Marla,879
69,Basir Pur,Basir Pur,Abadi Muhammad Ahmad wali,Commercial,Off Road,,,,239260,Marla,1464
70,Basir Pur,Basir Pur,Abadi Muhammad Ahmad wali,Residential,Off Road,,,,128066,Marla,878
71,Basir Pur,Basir Pur,Abadi Muhammad Hussain,Commercial,Off Road,,,,597103,Marla,1684
72,Basir Pur,Basir Pur,Abadi Muhammad Hussain,Residential,Off Road,,,,390628,Marla,1684
73,Basir Pur,Basir Pur,Abadi Muhammad Rafiq Wali,Commercial,Off Road,,,,298552,Marla,878
74,Basir Pur,Basir Pur,Abadi Muhammad Rafiq Wali,Residential,Off Road,,,,195313,Marla,878
75,Basir Pur,Basir Pur,Abadi Nawaz Deedha Wali,Commercial,Off Road,,,,284121,Marla,1464
76,Basir Pur,Basir Pur,Abadi Nawaz Deedha Wali,Residential,Off Road,,,,139405,Marla,878
77,Basir Pur,Basir Pur,Abadi Noor Samand,Commercial,Main Road,,,,449400,Marla,1464
78,Basir Pur,Basir Pur,Abadi Noor Samand,Residential,Off Road,,,,71662,Marla,879
79,Basir Pur,Basir Pur,Abadi Petrol Pump,Commercial,Off Road,,,,3415440,Marla,2489
80,Basir Pur,Basir Pur,Abadi Petrol Pump,Residential,Off Road,,,,644537,Marla,878
81,Basir Pur,Basir Pur,Abadi Saidan Wali,Residential,Off Road,,,,515628,Marla,878
82,Basir Pur,Basir Pur,Abadi Salah Muhammad,Commercial,Off Road,,,,224306,Marla,1464
83,Basir Pur,Basir Pur,Abadi Salah Muhammad,Residential,Off Road,,,,110056,Marla,878
84,Basir Pur,Basir Pur,Abadi Saleem Wali,Residential,Off Road,,,,93712,Marla,879
85,Basir Pur,Basir Pur,Abadi Sandhan Wali,Residential,Off Road,,,,515628,Marla,878
86,Basir Pur,Basir Pur,Abadi Shahzad Hanif wali,Residential,Off Road,,,,99225,Marla,879
87,Basir Pur,Basir Pur,Abadi Shahzad wali,Commercial,Off Road,,,,239260,Marla,1464
88,Basir Pur,Basir Pur,Abadi Shahzad wali,Residential,Off Road,,,,128066,Marla,878
89,Basir Pur,Basir Pur,Abadi Signal Wali,Commercial,Off Road,,,,699090,Marla,878
